epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,4607.51,0.53996,0.31429,1.00774,0.93395,0.94287,0.96102,0.75328,0.80769,0.45575,1.24423,0.000554545,0.000554545,0.000554545
138,4640.51,0.56406,0.3166,1.01254,0.92347,0.95207,0.95072,0.75696,0.78178,0.48052,1.22131,0.000549432,0.000549432,0.000549432
139,4673.68,0.5743,0.32356,1.02325,0.92897,0.94454,0.94964,0.7554,0.78866,0.46614,1.21241,0.000544318,0.000544318,0.000544318
140,4707.2,0.56459,0.31213,1.00972,0.92211,0.95513,0.95293,0.7561,0.77901,0.45229,1.21891,0.000539205,0.000539205,0.000539205
141,4739.81,0.56218,0.3107,1.00942,0.89803,0.95254,0.9479,0.75103,0.78654,0.47381,1.22498,0.000534091,0.000534091,0.000534091
142,4773.11,0.55139,0.31739,1.01766,0.92441,0.95625,0.95531,0.75749,0.78567,0.45904,1.24273,0.000528977,0.000528977,0.000528977
143,4806.28,0.56932,0.31695,1.02251,0.92656,0.94007,0.95812,0.75629,0.79848,0.44214,1.24297,0.000523864,0.000523864,0.000523864
144,4839.37,0.55363,0.30931,1.01289,0.93076,0.94569,0.95557,0.76219,0.78555,0.44988,1.23757,0.00051875,0.00051875,0.00051875
145,4872.31,0.56017,0.30654,1.01827,0.91622,0.96501,0.95586,0.75977,0.78716,0.46007,1.22503,0.000513636,0.000513636,0.000513636
146,4905.45,0.55338,0.31325,1.01304,0.90962,0.96198,0.95507,0.76122,0.76889,0.44962,1.21328,0.000508523,0.000508523,0.000508523
147,4939.4,0.55984,0.31793,1.01796,0.94383,0.95023,0.95825,0.76195,0.7807,0.44661,1.22699,0.000503409,0.000503409,0.000503409
148,4971.89,0.55093,0.3125,1.0125,0.91476,0.95407,0.9536,0.75553,0.79847,0.47392,1.2521,0.000498295,0.000498295,0.000498295
149,5005.55,0.5514,0.30778,1.01702,0.93069,0.94243,0.95355,0.76307,0.78091,0.45972,1.2269,0.000493182,0.000493182,0.000493182
150,5039.07,0.54285,0.30483,1.00796,0.93185,0.95318,0.95642,0.76443,0.78721,0.44575,1.22701,0.000488068,0.000488068,0.000488068
