epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,13171.8,0.69633,0.40048,1.00755,0.96768,0.928,0.96509,0.80171,0.73779,0.37287,1.09023,0.0082378,0.0082378,0.0082378
91,13281.3,0.69157,0.40197,1.01071,0.94551,0.94766,0.96202,0.79957,0.74405,0.38359,1.09502,0.008218,0.008218,0.008218
92,13391.1,0.68792,0.39636,1.00761,0.94961,0.9409,0.9625,0.80326,0.73859,0.3675,1.09401,0.0081982,0.0081982,0.0081982
93,13503.3,0.6959,0.39639,1.00756,0.95717,0.9355,0.9695,0.80331,0.73907,0.368,1.08949,0.0081784,0.0081784,0.0081784
94,13608.3,0.69584,0.4059,1.01092,0.94521,0.94486,0.96624,0.80247,0.7365,0.3767,1.08747,0.0081586,0.0081586,0.0081586
95,13714,0.6903,0.3991,1.00479,0.94806,0.94983,0.96689,0.7992,0.74317,0.36881,1.10104,0.0081388,0.0081388,0.0081388
96,13824.7,0.68464,0.39381,1.00848,0.94319,0.95274,0.96698,0.7959,0.74883,0.37589,1.09799,0.008119,0.008119,0.008119
97,13938.7,0.68788,0.40841,1.01101,0.94687,0.94489,0.97029,0.79982,0.75013,0.37158,1.10609,0.0080992,0.0080992,0.0080992
98,14050.9,0.69253,0.4079,1.01019,0.95363,0.9423,0.96622,0.79897,0.75138,0.37636,1.10044,0.0080794,0.0080794,0.0080794
99,14165.3,0.68157,0.39443,1.00925,0.95186,0.93988,0.96506,0.79545,0.74823,0.37839,1.1003,0.0080596,0.0080596,0.0080596
100,14273.8,0.6759,0.40849,0.99525,0.94484,0.94303,0.96864,0.79925,0.74475,0.3779,1.10007,0.0080398,0.0080398,0.0080398
101,14377.4,0.68569,0.39697,1.00236,0.94255,0.9524,0.96284,0.79535,0.7508,0.37381,1.09991,0.00802,0.00802,0.00802
102,14486.6,0.67836,0.39757,1.00309,0.96813,0.92866,0.96471,0.79861,0.75443,0.38337,1.10656,0.0080002,0.0080002,0.0080002
